# ----------------------------------------,,,,
# Alexa Internet,,,,
# Competitive Intelligence,,,,
# Historical Traffic Trends: Pageviews Percent,,,,
# 4/22/2018 (MM/DD/YYYY UTC),,,,
# ----------------------------------------,,,,
Date,Metric,bitfinex.com,binance.com,coinbase.com
5/20/2017,Pageviews %,0.0000068,,0.000113
5/21/2017,Pageviews %,0.0000058,,0.000127
5/22/2017,Pageviews %,0.0000081,,0.00017
5/23/2017,Pageviews %,7.7E-06,,0.000167
5/24/2017,Pageviews %,0.00001,,0.000178
5/25/2017,Pageviews %,1.2E-05,,0.000224
5/26/2017,Pageviews %,0.0000085,,0.000181
5/27/2017,Pageviews %,0.000011,,0.000162
5/28/2017,Pageviews %,0.0000084,,0.00012
5/29/2017,Pageviews %,0.0000078,,0.000117
5/30/2017,Pageviews %,0.0000071,,0.000135
5/31/2017,Pageviews %,0.0000079,,0.000147
6/1/2017,Pageviews %,0.0000097,,0.000139
6/2/2017,Pageviews %,0.0000059,,0.000125
6/3/2017,Pageviews %,0.0000088,,0.000145
6/4/2017,Pageviews %,0.0000071,,0.000131
6/5/2017,Pageviews %,0.0000072,,0.000138
6/6/2017,Pageviews %,0.0000091,,0.000177
6/7/2017,Pageviews %,0.0000072,,0.000153
6/8/2017,Pageviews %,0.0000097,,0.000127
6/9/2017,Pageviews %,0.0000082,,0.000133
6/10/2017,Pageviews %,0.0000076,,0.00018
6/11/2017,Pageviews %,0.0000086,,0.000197
6/12/2017,Pageviews %,0.000014,,0.000214
6/13/2017,Pageviews %,0.0000291,,0.000192
6/14/2017,Pageviews %,0.0000238,,0.000164
6/15/2017,Pageviews %,0.000019,,0.00018
6/16/2017,Pageviews %,0.000014,,0.00015
6/17/2017,Pageviews %,0.000015,,0.000158
6/18/2017,Pageviews %,0.000016,,0.000132
6/19/2017,Pageviews %,0.00001,,0.000126
6/20/2017,Pageviews %,1.2E-05,,0.000146
6/21/2017,Pageviews %,1.2E-05,,0.00015
6/22/2017,Pageviews %,0.000011,,0.000136
6/23/2017,Pageviews %,0.000011,1.00E-07,0.000121
6/24/2017,Pageviews %,0.000016,0.0000023,0.00012
6/25/2017,Pageviews %,0.000018,,0.00013
6/26/2017,Pageviews %,0.000015,,0.000145
6/27/2017,Pageviews %,0.000011,,0.000138
6/28/2017,Pageviews %,1.2E-05,,0.00013
6/29/2017,Pageviews %,0.0000097,,0.000107
6/30/2017,Pageviews %,1.2E-05,,0.000101
7/1/2017,Pageviews %,0.000011,,0.0000941
7/2/2017,Pageviews %,0.000013,,0.000106
7/3/2017,Pageviews %,0.000017,,0.0000947
7/4/2017,Pageviews %,0.000013,,0.000103
7/5/2017,Pageviews %,0.000011,,0.000098
7/6/2017,Pageviews %,0.00001,,0.0000919
7/7/2017,Pageviews %,0.0000092,,0.000103
7/8/2017,Pageviews %,0.000011,,0.0000969
7/9/2017,Pageviews %,0.0000096,,8.27E-05
7/10/2017,Pageviews %,0.0000082,,0.000102
7/11/2017,Pageviews %,1.2E-05,,0.00011
7/12/2017,Pageviews %,0.000015,,0.000107
7/13/2017,Pageviews %,1.2E-05,,0.0000872
7/14/2017,Pageviews %,0.000013,,0.000101
7/15/2017,Pageviews %,0.000014,,0.0001
7/16/2017,Pageviews %,0.000017,,0.000105
7/17/2017,Pageviews %,0.000013,,0.0000974
7/18/2017,Pageviews %,0.000015,,0.000121
7/19/2017,Pageviews %,0.000014,,0.000106
7/20/2017,Pageviews %,0.000016,,0.00011
7/21/2017,Pageviews %,0.000018,,0.000107
7/22/2017,Pageviews %,0.00002,,8.83E-05
7/23/2017,Pageviews %,0.000015,,0.0000884
7/24/2017,Pageviews %,0.000014,,0.0000856
7/25/2017,Pageviews %,0.000016,,0.0000888
7/26/2017,Pageviews %,1.2E-05,,0.0000745
7/27/2017,Pageviews %,1.2E-05,,0.000075
7/28/2017,Pageviews %,0.000015,,0.000106
7/29/2017,Pageviews %,0.000017,,0.0001
7/30/2017,Pageviews %,0.000019,,0.0000901
7/31/2017,Pageviews %,0.000018,,0.0000841
8/1/2017,Pageviews %,0.0000247,,0.0000922
8/2/2017,Pageviews %,0.0000295,,0.0000791
8/3/2017,Pageviews %,0.0000246,,0.000072
8/4/2017,Pageviews %,0.000026,,0.0000914
8/5/2017,Pageviews %,0.0000274,,0.000109
8/6/2017,Pageviews %,0.000026,,0.0000875
8/7/2017,Pageviews %,2.4E-05,,0.0000897
8/8/2017,Pageviews %,0.000025,,0.000107
8/9/2017,Pageviews %,0.0000271,0.0000086,0.00011
8/10/2017,Pageviews %,0.0000279,0.0000091,0.00011
8/11/2017,Pageviews %,3.58E-05,0.000011,0.000114
8/12/2017,Pageviews %,0.000041,0.0000097,0.000123
8/13/2017,Pageviews %,0.0000419,0.000013,0.000141
8/14/2017,Pageviews %,0.0000381,0.00002,0.000133
8/15/2017,Pageviews %,4.39E-05,0.000011,0.000137
8/16/2017,Pageviews %,0.0000343,0.000011,0.000111
8/17/2017,Pageviews %,0.0000384,0.000015,0.000121
8/18/2017,Pageviews %,0.0000341,0.000021,0.000119
8/19/2017,Pageviews %,0.0000311,0.000016,0.000102
8/20/2017,Pageviews %,0.000026,0.000023,0.0000939
8/21/2017,Pageviews %,0.0000273,2.4E-05,0.000099
8/22/2017,Pageviews %,0.0000245,0.000022,0.000107
8/23/2017,Pageviews %,0.000029,0.000026,0.000115
8/24/2017,Pageviews %,0.0000242,0.00002,0.000102
8/25/2017,Pageviews %,0.0000248,0.000017,0.0000988
8/26/2017,Pageviews %,0.000027,0.000019,0.000105
